"","YEAR_","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","area_burned_km2","DATE","month"
"1",2007,"MOUNTAIN",20070719,20070719,14,3.40161878079,2007-07-18 17:00:00,"07"
"2",2007,"WOFFORD",20070509,20070513,9,2.29641540118,2007-05-08 17:00:00,"05"
"3",2007,"AUBERRY",20070828,20070903,10,0.610816557679,2007-08-27 17:00:00,"08"
"4",2007,"GATOS",20070902,20070905,1,0.336100326571,2007-09-01 17:00:00,"09"
"5",2007,"HIGHWAY 41/ RD 209 3",20070520,0,14,1.33174323131,2007-05-19 17:00:00,"05"
"6",2007,"BALDY RIDGE",20071101,20071201,1,0.0796925201796,2007-10-31 17:00:00,"11"
"7",2007,"WILLOW",20070719,20071106,1,0.747965067055,2007-07-18 17:00:00,"07"
"8",2007,"BROWN",20070720,20070623,9,5.78828883312,2007-07-19 17:00:00,"07"
"9",2007,"BODFISH",20070610,20070611,14,0.862450672239,2007-06-09 17:00:00,"06"
"10",2007,"SAN BENITO",20070818,20070819,14,0.0648979261763,2007-08-17 17:00:00,"08"
"11",2007,"PANOCHE",20070322,20070323,11,0.298605601419,2007-03-21 17:00:00,"03"
"12",2007,"TAR",20070810,20070819,14,22.9498365789,2007-08-09 17:00:00,"08"
"13",2007,"BOURLAND",20071030,20070000,1,0.118807885899,2007-10-29 17:00:00,"10"
"14",2007,"MONO",20070405,20070525,1,0.396929695897,2007-04-04 17:00:00,"04"
"15",2007,"RICHBAR",20071023,20071023,9,0.0543597821121,2007-10-22 17:00:00,"10"
"16",2007,"RIVER",20070801,20070801,2,0.606570077569,2007-07-31 17:00:00,"08"
"17",2007,"DEVIL",20070809,20070810,4,0.0492459589963,2007-08-08 17:00:00,"08"
"18",2007,"GOLDLEDGE",20070603,20070616,9,16.9806785334,2007-06-02 17:00:00,"06"
"19",2007,"GROUSE",20070827,20071218,1,4.0635060909,2007-08-26 17:00:00,"08"
"20",2007,"JAMES",20070429,20070802,9,5.45893574362,2007-04-28 17:00:00,"04"
"21",2007,"BAILEY",0,20070722,14,0.216289547615,NA,""
"22",2007,"LITTLE",20070322,0,9,0.270744031179,2007-03-21 17:00:00,"03"
"23",2007,"YOKHOL",20070715,0,14,0.312430376778,2007-07-14 17:00:00,"07"
"24",2007,"CANYON",20070723,20070624,9,0.342864847166,2007-07-22 17:00:00,"07"
"25",2007,"POWER HOUSE",20070818,20070819,10,0.18534412152,2007-08-17 17:00:00,"08"
"26",2007,"GRANT",20070710,20070920,1,0.0540312954859,2007-07-09 17:00:00,"07"
"27",2007,"BABCOCK",20070711,20070920,1,1.06607613308,2007-07-10 17:00:00,"07"
"28",2007,"BALD WFU",20070830,20070905,1,1.34203746876,2007-08-29 17:00:00,"08"
"29",2007,"BALD WF",20070905,20070915,1,0.318049504126,2007-09-04 17:00:00,"09"
"30",2007,"JACK WFU",20071029,20071107,1,0.0956421928008,2007-10-28 17:00:00,"10"
"31",2007,"DEVIL",20071029,20071208,1,0.968254007754,2007-10-28 17:00:00,"10"
"32",2007,"JACK WF",20071108,20071208,1,4.4768248282,2007-11-07 16:00:00,"11"
"33",2007,"LICK",20070903,20070915,5,193.230406132,2007-09-02 17:00:00,"09"
"34",2007,"MURRAY",20070525,20070526,5,0.416288864681,2007-05-24 17:00:00,"05"
"35",2007,"DUNTON",20070604,20070604,2,0.842703767632,2007-06-03 17:00:00,"06"
"36",2007,"SHELL",20070702,20070703,14,0.41044250074,2007-07-01 17:00:00,"07"
"37",2007,"GASSNER",20070721,20070721,14,0.92665987487,2007-07-20 17:00:00,"07"
"38",2007,"GOLDEN",20070816,20070817,10,0.265594720664,2007-08-15 17:00:00,"08"
"39",2007,"ORVIS",20070816,20070816,10,2.16500008089,2007-08-15 17:00:00,"08"
"40",2007,"ITALIAN",20070822,20070828,14,0.413913532709,2007-08-21 17:00:00,"08"
"41",2007,"SHELLEY",20070915,20070915,2,0.419879817724,2007-09-14 17:00:00,"09"
"42",2007,"HORSE",20070528,20070530,7,1.75952875075,2007-05-27 17:00:00,"05"
"43",2007,"SHANNON",20070603,20070604,2,8.66431671908,2007-06-02 17:00:00,"06"
"44",2007,"SOURCE",20070826,20070828,1,0.0508865136568,2007-08-25 17:00:00,"08"
"45",2007,"TRIMMER",20070525,20070526,9,0.783111084411,2007-05-24 17:00:00,"05"
"46",2007,"VISTA",20070822,20070824,4,1.70096603762,2007-08-21 17:00:00,"08"
"47",2007,"CLOVER 2",20070828,20070926,1,0.0815894320416,2007-08-27 17:00:00,"08"
"48",2007,"ROCK",20070826,20070901,1,0.346940990201,2007-08-25 17:00:00,"08"
"49",2007,"INGALLS",20071021,20071023,5,0.0738386914008,2007-10-20 17:00:00,"10"
"50",2007,"BUMMER",20070724,20070725,1,0.244470275777,2007-07-23 17:00:00,"07"
"51",2007,"DOME2",20070810,20070810,2,0.556982698757,2007-08-09 17:00:00,"08"
"52",2007,"NIAGARA",20070809,20070809,4,0.653103057119,2007-08-08 17:00:00,"08"
"53",2007,"JUPITER",20071028,20071102,5,0.054236506084,2007-10-27 17:00:00,"10"
"54",2005,"FLUME",20050703,20050703,8,0.0411781292046,2005-07-02 17:00:00,"07"
"55",2005,"SIXTH",20050712,20050712,14,0.297579081974,2005-07-11 17:00:00,"07"
"56",2005,"AERA",20050816,20050816,11,0.041202754597,2005-08-15 17:00:00,"08"
"57",2005,"EAGLE",20050823,20050824,1,0.281865522275,2005-08-22 17:00:00,"08"
"58",2005,"WELLS",20050827,20050828,1,0.486457784121,2005-08-26 17:00:00,"08"
"59",2005,"PENO BLANC",20050807,20050807,2,0.200921702055,2005-08-06 17:00:00,"08"
"60",2005,"CARSON",20050910,20050910,2,0.049125777875,2005-09-09 17:00:00,"09"
"61",2005,"PENN",20050625,20050625,11,0.245932460281,2005-06-24 17:00:00,"06"
"62",2005,"MARSHES",20050701,20050701,11,0.308766629752,2005-06-30 17:00:00,"07"
"63",2005,"GOLDEN",20050805,20050805,2,0.302546213401,2005-08-04 17:00:00,"08"
"64",2005,"APRICOT",20050517,20050518,4,2.69974970318,2005-05-16 17:00:00,"05"
"65",2005,"FAYE",20050623,20050624,14,0.0774723918987,2005-06-22 17:00:00,"06"
"66",2005,"152 FIRE",20050614,20050614,14,0.7835224539,2005-06-13 17:00:00,"06"
"67",2005,"600 FIRE",20050601,20050601,14,0.196969761625,2005-05-31 17:00:00,"06"
"68",2005,"800 FIRE",20050630,20050630,14,0.17948012469,2005-06-29 17:00:00,"06"
"69",2005,"810 FIRE",20050701,20050701,2,0.210731090692,2005-06-30 17:00:00,"07"
"70",2005,"ALTMAN",20050731,20050731,2,0.176691236744,2005-07-30 17:00:00,"07"
"71",2005,"BAILEY",20050702,20050702,14,4.14616271756,2005-07-01 17:00:00,"07"
"72",2005,"BATES",20050926,20050926,1,0.0937366409077,2005-09-25 17:00:00,"09"
"73",2005,"BLANCO",20050807,20050807,2,0.0797818018212,2005-08-06 17:00:00,"08"
"74",2005,"BUCKEYE",20051112,20051112,18,0.0810915643212,2005-11-11 16:00:00,"11"
"75",2005,"COTTONWOOD",20050901,20050901,10,0.615581677959,2005-08-31 17:00:00,"09"
"76",2005,"COWPIE",20050801,20050801,9,20.1670348397,2005-07-31 17:00:00,"08"
"77",2005,"DINOSAUR",20050731,20050731,14,0.185013773446,2005-07-30 17:00:00,"07"
"78",2005,"DOS AMIGOS",20050603,20050603,10,3.01909526293,2005-06-02 17:00:00,"06"
"79",2005,"ENGINEERS",20050829,20050829,2,0.968817524956,2005-08-28 17:00:00,"08"
"80",2005,"HENSLEY",20050620,20050620,7,0.076019858226,2005-06-19 17:00:00,"06"
"81",2005,"HORSESHOE",20050906,20050906,14,1.77903770979,2005-09-05 17:00:00,"09"
"82",2005,"LA PALOMA",20050920,20050920,1,3.04043517502,2005-09-19 17:00:00,"09"
"83",2005,"LAGUNA",20050926,20050926,14,1.05335273629,2005-09-25 17:00:00,"09"
"84",2005,"LAGUNA 2",20050730,20050730,10,2.20555743619,2005-07-29 17:00:00,"07"
"85",2005,"LIGHTNING",20050926,20050926,1,0.0862622016302,2005-09-25 17:00:00,"09"
"86",2005,"LOS BANOS",20050920,20050920,1,3.81261589417,2005-09-19 17:00:00,"09"
"87",2005,"MERVEL",20050709,20050709,14,0.0373818731904,2005-07-08 17:00:00,"07"
"88",2005,"MILLERTON",20051126,20051126,1,0.11815236023,2005-11-25 16:00:00,"11"
"89",2005,"MYERS",20050626,20050626,10,0.371984264635,2005-06-25 17:00:00,"06"
"90",2005,"MYSTERY",20050525,20050525,14,0.08798876111,2005-05-24 17:00:00,"05"
"91",2005,"NOBLE",20050721,20050721,1,0.62957124041,2005-07-20 17:00:00,"07"
"92",2005,"PRESTON",20050925,20050925,14,0.304848291133,2005-09-24 17:00:00,"09"
"93",2005,"QUARTZ",20050725,20050727,14,2.21508977984,2005-07-24 17:00:00,"07"
"94",2005,"RATTLESNAKE",20050926,20050926,1,0.0947145845237,2005-09-25 17:00:00,"09"
"95",2005,"SAN LUIS",20050711,20050711,10,1.34460729401,2005-07-10 17:00:00,"07"
"96",2005,"STUMPFIELD",20050904,20050904,4,0.0463648502561,2005-09-03 17:00:00,"09"
"97",2005,"URROTIA",20050915,20050915,14,1.70139718993,2005-09-14 17:00:00,"09"
"98",2005,"WRIGHT",20050608,20050608,14,0.119371577706,2005-06-07 17:00:00,"06"
"99",2005,"JACKSON",20050726,20050726,10,0.0859376969323,2005-07-25 17:00:00,"07"
"100",2005,"HWY 4 #3",20050621,20050621,10,0.253301341468,2005-06-20 17:00:00,"06"
"101",2005,"PG&E #7",20050625,20050625,11,0.237985450164,2005-06-24 17:00:00,"06"
"102",2005,"Five",20050604,20050605,1,9.59730630182,2005-06-03 17:00:00,"06"
"103",2005,"GRUNDER",20050912,20050912,10,0.552894022805,2005-09-11 17:00:00,"09"
"104",2005,"PG&E #15",20051108,20051108,11,0.591824696475,2005-11-07 16:00:00,"11"
"105",2005,"WENTZEL",20050801,20050801,2,1.56688166858,2005-07-31 17:00:00,"08"
"106",2005,"BRANDT",20050601,20050601,2,0.287342435548,2005-05-31 17:00:00,"06"
"107",2005,"UPRR_FIRE8_",20050713,20050713,6,0.051500888793,2005-07-12 17:00:00,"07"
"108",2005,"UPRR_FIRE7_",20050713,20050713,6,0.00193194063412,2005-07-12 17:00:00,"07"
"109",2005,"UPRR_FIRE6",20050713,20050713,6,0.00257071538877,2005-07-12 17:00:00,"07"
"110",2005,"UPRR_FIRE5_",20050713,20050713,6,0.0320957725613,2005-07-12 17:00:00,"07"
"111",2005,"UPRR_FIRE4_",20050713,20050713,6,0.0367286855221,2005-07-12 17:00:00,"07"
"112",2005,"UPRR_FIRE3_",20050713,20050713,6,0.0220351283151,2005-07-12 17:00:00,"07"
"113",2005,"UPRR_FIRE2_",20050713,20050713,6,0.0184343780589,2005-07-12 17:00:00,"07"
"114",2005,"UPRR_FIRE_",20050713,20050713,6,0.041377463274,2005-07-12 17:00:00,"07"
"115",1924,"PI PI-INDIAN DIGGING",19240818,0,9,36.2104053924,1924-08-17 16:00:00,"08"
"116",1926," ",19260000,0,14,19.9372255897,NA,"00"
"117",1926," ",19260000,0,14,8.63879724697,NA,"00"
"118",1926," ",19260000,0,14,0.330627683549,NA,"00"
"119",1926," ",19260000,0,14,0.603577540496,NA,"00"
"120",1926," ",19260000,0,14,0.371817397953,NA,"00"
"121",1911," ",19110000,0,14,1.24749845758,NA,"00"
"122",1911," ",19110000,0,1,1.69723305363,NA,"00"
"123",1917," ",19170000,0,1,2.6267572617,NA,"00"
"124",1917," ",19170000,0,9,0.036510754398,NA,"00"
"125",1917," ",19170000,0,9,1.30266680589,NA,"00"
"126",1929," ",19290000,0,14,36.5154968963,NA,"00"
"127",2005," ",20050626,0,14,2.20461715161,2005-06-25 17:00:00,"06"
"128",2006,"FAY",20060518,20060518,9,0.133254089686,2006-05-17 17:00:00,"05"
"129",1910," ",19100000,0,14,3.41063659175,NA,"00"
"130",1974,"JOHN & ELVA FERGUSON",19740428,0,14,1.28733208896,1974-04-27 17:00:00,"04"
"131",1974,"KEENE #1",19740723,0,14,4.20387708985,1974-07-22 17:00:00,"07"
"132",1970,"WYLIE",19700817,0,9,1.37731136911,1970-08-16 17:00:00,"08"
"133",1970,"LONG RIDGE",19700518,0,9,2.41922799263,1970-05-17 17:00:00,"05"
"134",1970," ",19700000,0,1,0.294483321923,NA,"00"
"135",1964,"JOSES SERIES",19640705,0,14,2.75028037231,1964-07-04 17:00:00,"07"
"136",1964," ",19640000,0,14,0.725878255654,NA,"00"
"137",1964," ",19640000,0,9,1.64981338952,NA,"00"
"138",1964," ",19640000,0,1,0.188191490992,NA,"00"
"139",1964," ",19640000,0,1,0.349377711485,NA,"00"
"140",1929,"MUD SPRINGS",19290521,0,14,0.0765089194577,1929-05-20 16:00:00,"05"
"141",1929,"MEADOW LAKE",19291006,0,1,0.754072655597,1929-10-05 16:00:00,"10"
"142",1961,"STATE PARK #2",19610713,0,14,5.02366585182,1961-07-12 17:00:00,"07"
"143",1961,"SUTTER CREEK",19610902,0,14,3.90835038467,1961-09-01 17:00:00,"09"
"144",1966,"LOMBARDI",19660520,0,14,1.17359574642,1966-05-19 17:00:00,"05"
"145",1917," ",19170000,0,9,1.33317300932,NA,"00"
"146",1917," ",19170000,0,1,0.113647027833,NA,"00"
"147",1917," ",19170000,0,1,1.74599656699,NA,"00"
"148",1917," ",19170000,0,1,0.0415894743716,NA,"00"
"149",1917," ",19170000,0,1,2.72226627941,NA,"00"
"150",1917," ",19170000,0,9,0.259656792607,NA,"00"
"151",1917," ",19170000,0,9,0.172501351829,NA,"00"
"152",1917," ",19170000,0,9,0.0627305480719,NA,"00"
"153",1917," ",19170000,0,9,6.53921104559,NA,"00"
"154",1919," ",19190000,0,1,0.1780444362,NA,"00"
"155",1919," ",19190000,0,14,0.793466627163,NA,"00"
"156",1919," ",19190000,0,14,0.570007597461,NA,"00"
"157",1919," ",19190000,0,1,0.584001042873,NA,"00"
"158",1919," ",19190000,0,14,0.5095937447,NA,"00"
"159",1919," ",19190000,0,14,0.830416448604,NA,"00"
"160",1951,"C.C. COOK",19510531,0,14,1.44155332092,1951-05-30 17:00:00,"05"
"161",1951,"GILL #2",19510603,0,14,2.54402004333,1951-06-02 17:00:00,"06"
"162",1951,"MERCED #7",19510902,0,14,17.2091393766,1951-09-01 17:00:00,"09"
"163",1911," ",19110000,0,14,0.423665353349,NA,"00"
"164",1911," ",19110000,0,14,0.655222480398,NA,"00"
"165",1911," ",19110000,0,14,0.459564109855,NA,"00"
"166",1911," ",19110000,0,14,0.422688423541,NA,"00"
"167",1911," ",19110000,0,14,45.4816762655,NA,"00"
"168",1952,"CALAVERITAS",19520901,0,14,5.09553445067,1952-08-31 17:00:00,"09"
"169",1952,"CATHAY VALLEY MT.",19520926,0,14,3.27163664237,1952-09-25 17:00:00,"09"
"170",1925," ",19250000,0,1,0.15699425481,NA,"00"
"171",1925," ",19250000,0,1,0.0200943418633,NA,"00"
"172",1925," ",19250000,0,1,0.0767379428178,NA,"00"
"173",1925,"UNKNOWN",19250000,0,14,0.108022108348,NA,"00"
"174",1925,"UNKNOWN",19250000,0,14,1.88856316876,NA,"00"
"175",1955,"ROLLERI",19550801,0,14,0.972962840218,1955-07-31 17:00:00,"08"
"176",1960,"WOLFSEN'S",19600612,0,14,2.65272637737,1960-06-11 17:00:00,"06"
"177",2005,"TESLA",20050719,20050720,7,26.0631954208,2005-07-18 17:00:00,"07"
"178",2005,"CON ASSIST 11_DOLAN",20050705,20050705,7,0.31396049429,2005-07-04 17:00:00,"07"
"179",2005,"CON ASST 13_DIAMOND",20050706,20050706,7,0.658287252693,2005-07-05 17:00:00,"07"
"180",2005,"MEAT_TRUCK",20050827,20050827,10,1.00691364878,2005-08-26 17:00:00,"08"
"181",2005,"BRUNS",20050719,20050719,14,1.80164448465,2005-07-18 17:00:00,"07"
"182",2005,"BRAGDON",20050701,20050703,14,1.26003935551,2005-06-30 17:00:00,"07"
"183",2005,"AIRPORT_VASCO",20050604,20050605,10,1.4077209201,2005-06-03 17:00:00,"06"
"184",2005,"BYRON",20050629,20050629,14,0.82081873336,2005-06-28 17:00:00,"06"
"185",2005,"RED",20050727,20050728,14,3.09489093859,2005-07-26 17:00:00,"07"
"186",2005,"MILLWOOD",20050707,20050707,14,11.7424379611,2005-07-06 17:00:00,"07"
"187",2005,"HWY 65",20050524,20050524,14,1.82290882229,2005-05-23 17:00:00,"05"
"188",2005,"SHERWOOD",20050527,20050527,14,0.931305470392,2005-05-26 17:00:00,"05"
"189",2005,"CARO",20050703,20050703,3,2.58614566059,2005-07-02 17:00:00,"07"
"190",2005,"ELK",20050717,20050717,9,1.4515426798,2005-07-16 17:00:00,"07"
"191",2005,"BLUE",20050726,20050726,14,3.13576355104,2005-07-25 17:00:00,"07"
"192",2005,"SPRING",20050708,20050710,10,3.35232596262,2005-07-07 17:00:00,"07"
"193",2005,"STATION",20050715,20050715,10,0.842961500453,2005-07-14 17:00:00,"07"
"194",2005,"AQUEDUCT",20050813,20050813,9,1.66167047404,2005-08-12 17:00:00,"08"
"195",2005,"PINE",20050921,20050921,1,7.34292744679,2005-09-20 17:00:00,"09"
"196",2005,"RIDGE",20051127,20051128,7,2.66730567958,2005-11-26 16:00:00,"11"
"197",2005,"CRANE",20050925,20050926,11,1.67055019054,2005-09-24 17:00:00,"09"
"198",2005,"COMB",20050722,20051201,1,39.4830184671,2005-07-21 17:00:00,"07"
"199",2005,"EAST CREEK",20050730,20051022,1,0.00972019174673,2005-07-29 17:00:00,"07"
"200",2005,"CABIN",20051024,20051210,1,0.0590895440574,2005-10-23 17:00:00,"10"
"201",2005,"BACKDOOR",20050825,20050826,14,0.328900747402,2005-08-24 17:00:00,"08"
"202",2005,"HARDEN WFU",20050926,20051104,1,0.338522706287,2005-09-25 17:00:00,"09"
"203",2005,"ECHO WFU",20050721,20050927,1,0.538886610199,2005-07-20 17:00:00,"07"
"204",2005,"CRYSTAL WFU",20050721,20050927,1,0.423744899729,2005-07-20 17:00:00,"07"
"205",2005,"BUENA VISTA WFU",20050721,20050927,1,0.489579705287,2005-07-20 17:00:00,"07"
"206",2005,"WAPAMA WFU",20050926,20051104,1,4.27882023607,2005-09-25 17:00:00,"09"
"207",2005,"LAUEREL WFU",20050926,20051104,1,1.93112360567,2005-09-25 17:00:00,"09"
"208",2004,"SMOKEY WFU",20040627,20040808,1,0.108518878537,2004-06-26 17:00:00,"06"
"209",2004,"MEADOW WFU",20040630,20040730,1,20.360369271,2004-06-29 17:00:00,"06"
"210",2005,"WISHON",20050727,20050727,9,0.158464623898,2005-07-26 17:00:00,"07"
"211",1918," ",19180000,0,9,0.0929024093124,NA,"00"
"212",1918," ",19180000,0,1,2.23961956804,NA,"00"
"213",1918," ",19180000,0,9,3.02747756735,NA,"00"
"214",1918," ",19180000,0,9,2.65494837925,NA,"00"
"215",1915," ",19150000,0,14,1.07511122907,NA,"00"
"216",1915," ",19150000,0,14,2.71151427579,NA,"00"
"217",1915," ",19150000,0,9,0.581379125141,NA,"00"
"218",1915," ",19150000,0,9,0.318194828847,NA,"00"
"219",1915," ",19150000,0,14,4.23405892281,NA,"00"
"220",1925," ",19250000,0,14,2.09997101651,NA,"00"
"221",1925," ",19250000,0,14,9.33017144328,NA,"00"
"222",1925," ",19250000,0,1,1.09846914568,NA,"00"
"223",1925," ",19250000,0,1,1.68223420104,NA,"00"
"224",1925," ",19250000,0,14,20.1232008197,NA,"00"
"225",1925," ",19250000,0,1,0.163263726402,NA,"00"
"226",1925," ",19250000,0,1,0.293177053241,NA,"00"
"227",1925," ",19250000,0,1,0.189834885146,NA,"00"
"228",1925," ",19250000,0,1,0.0933060455391,NA,"00"
"229",1926," ",19260000,0,1,0.0344521320264,NA,"00"
"230",1926," ",19260000,0,9,0.245032014617,NA,"00"
"231",1926," ",19260000,0,9,1.6031998518,NA,"00"
"232",1926," ",19260000,0,9,6.28378074526,NA,"00"
"233",1926," ",19260000,0,1,24.1064378921,NA,"00"
"234",1927," ",19270000,0,9,0.862800356908,NA,"00"
"235",1927," ",19270000,0,9,30.5828209029,NA,"00"
"236",1964,"P.G.&E. #16",19640726,0,14,1.41369201643,1964-07-25 17:00:00,"07"
"237",1915," ",19150000,0,14,0.209419800993,NA,"00"
"238",1916," ",19160000,0,9,1.4321738126,NA,"00"
"239",1916," ",19160000,0,14,0.186547441573,NA,"00"
"240",1960," ",19600000,0,14,0.205559055029,NA,"00"
"241",1960," ",19600000,0,1,0.319590363369,NA,"00"
"242",1920," ",19200000,0,9,0.0146163594751,NA,"00"
"243",1920," ",19200000,0,9,2.0728577956,NA,"00"
"244",1912," ",19120000,0,9,21.7682803696,NA,"00"
"245",1912," ",19120000,0,1,5.54235356648,NA,"00"
"246",1947," ",19470000,0,9,0.224177432326,NA,"00"
"247",1947," ",19470000,0,1,0.162893177027,NA,"00"
"248",1947," ",19470000,0,9,0.607642218775,NA,"00"
"249",1947," ",19470000,0,1,0.566786575996,NA,"00"
"250",1947," ",19470000,0,1,0.0641084378426,NA,"00"
"251",1947," ",19470000,0,9,3.56242314,NA,"00"
"252",1926," ",19260000,0,14,7.87321592288,NA,"00"
"253",1926," ",19260000,0,14,6.9388846061,NA,"00"
"254",1926," ",19260000,0,9,2.18726203339,NA,"00"
"255",1926," ",19260000,0,1,2.44474772969,NA,"00"
"256",1926," ",19260000,0,14,17.7867761199,NA,"00"
"257",1926," ",19260000,0,1,1.71463912397,NA,"00"
"258",1926," ",19260000,0,9,0.017331449054,NA,"00"
"259",1926," ",19260000,0,1,1.04541797932,NA,"00"
"260",1926," ",19260000,0,9,0.118350922493,NA,"00"
"261",1926," ",19260000,0,9,3.71656144059,NA,"00"
"262",1934," ",19340000,0,1,3.92816909364,NA,"00"
"263",1934," ",19340000,0,9,11.7205401122,NA,"00"
"264",1934," ",19340000,0,1,0.0246334666693,NA,"00"
"265",1934," ",19340000,0,1,0.0832139004514,NA,"00"
"266",1934," ",19340000,0,9,0.569530877005,NA,"00"
"267",1934," ",19340000,0,1,1.56024339096,NA,"00"
"268",1934," ",19340000,0,9,0.0253402479875,NA,"00"
"269",1934," ",19340000,0,9,0.757210152584,NA,"00"
"270",1934," ",19340000,0,9,7.00360587804,NA,"00"
"271",1934,"SOUTH FORK",19340705,0,9,9.72373386655,1934-07-04 16:00:00,"07"
"272",1925," ",19250000,0,1,0.0324950871368,NA,"00"
"273",1925," ",19250000,0,1,2.53939767834,NA,"00"
"274",1925," ",19250000,0,1,0.032379672718,NA,"00"
"275",1925," ",19250000,0,1,0.307347092011,NA,"00"
"276",1925," ",19250000,0,9,1.34974344489,NA,"00"
"277",1926," ",19260000,0,14,10.5293200826,NA,"00"
"278",1926," ",19260000,0,1,0.0433718179051,NA,"00"
"279",1926," ",19260000,0,9,0.821468223626,NA,"00"
"280",1926," ",19260000,0,1,60.5784692775,NA,"00"
"281",1926," ",19260000,0,9,2.24952268093,NA,"00"
"282",1926," ",19260000,0,1,5.51771960373,NA,"00"
"283",1921," ",19210000,0,14,3.13797161127,NA,"00"
"284",1921," ",19210000,0,1,5.09104304406,NA,"00"
"285",1921," ",19210000,0,14,1.65272569558,NA,"00"
"286",1949," ",19490000,0,1,0.180108635482,NA,"00"
"287",2006,"49",20060728,20060728,5,0.68303058376,2006-07-27 17:00:00,"07"
"288",1937," ",19370000,0,9,0.0417552848589,NA,"00"
"289",1937," ",19370000,0,9,0.0722803472895,NA,"00"
"290",1938," ",19380000,0,9,0.440636627847,NA,"00"
"291",1938,"UNKNOWN",19380000,0,14,1.07839401437,NA,"00"
"292",1929," ",19290000,0,14,13.8506705345,NA,"00"
"293",1929," ",19290000,0,14,0.107711187221,NA,"00"
"294",1929," ",19290000,0,14,0.538861529596,NA,"00"
"295",1911," ",19110000,0,14,0.159544972952,NA,"00"
"296",1911," ",19110000,0,14,0.175331866242,NA,"00"
"297",1911," ",19110000,0,14,0.386724397443,NA,"00"
"298",1911," ",19110000,0,1,0.172452888075,NA,"00"
"299",1911," ",19110000,0,14,0.417088654523,NA,"00"
"300",1931," ",19310000,0,14,2.04689087724,NA,"00"
"301",1951,"PACIFIC MINE",19510718,0,14,3.65217353964,1951-07-17 17:00:00,"07"
"302",1917," ",19170000,0,9,0.403763077376,NA,"00"
"303",1917," ",19170000,0,9,0.346510950945,NA,"00"
"304",1970,"CARNEGIE #3",19700705,0,14,17.764814243,1970-07-04 17:00:00,"07"
"305",1970,"COPPER MTN.",19700725,0,14,10.1162498486,1970-07-24 17:00:00,"07"
"306",1991,"SILLIMANCR",19910912,19911206,1,0.254869079582,1991-09-11 17:00:00,"09"
"307",2005,"DUMP",20050801,20050801,9,0.0929817789472,2005-07-31 17:00:00,"08"
"308",1948," ",19480000,0,9,0.0464210459658,NA,"00"
"309",1932," ",19320000,0,9,0.592992052714,NA,"00"
"310",1910," ",19100000,0,14,2.41900576644,NA,"00"
"311",1924," ",19240000,0,14,46.9040225562,NA,"00"
"312",1924," ",19240000,0,14,3.23942889605,NA,"00"
"313",1924," ",19240000,0,14,41.7234553363,NA,"00"
"314",1924," ",19240000,0,14,4.27323296902,NA,"00"
"315",1924," ",19240000,0,14,5.24862034477,NA,"00"
"316",1924," ",19240000,0,1,2.20366863359,NA,"00"
"317",1924," ",19240000,0,9,21.0545905444,NA,"00"
"318",1924," ",19240000,0,1,16.4978973562,NA,"00"
"319",1924," ",19240000,0,14,0.645527604749,NA,"00"
"320",1924," ",19240000,0,14,0.427615359213,NA,"00"
"321",1924," ",19240000,0,14,0.944025846857,NA,"00"
"322",1941," ",19410000,0,14,2.25506446848,NA,"00"
"323",1941," ",19410000,0,9,0.793027001358,NA,"00"
"324",1955," ",19550000,0,9,0.153450664307,NA,"00"
"325",1955,"UNKNOWN",19550000,0,14,1.49063321451,NA,"00"
"326",1917," ",19170000,0,1,8.29945253005,NA,"00"
"327",1921," ",19210000,0,1,0.401225497745,NA,"00"
"328",1921," ",19210000,0,9,0.172200976629,NA,"00"
"329",1921," ",19210000,0,1,0.156199742047,NA,"00"
"330",1921," ",19210000,0,1,0.248247600972,NA,"00"
"331",1921," ",19210000,0,1,0.0192818987362,NA,"00"
"332",1921," ",19210000,0,1,1.96525598047,NA,"00"
"333",1921," ",19210000,0,9,0.719264658458,NA,"00"
"334",1921," ",19210000,0,9,53.3040496883,NA,"00"
"335",1921," ",19210000,0,9,0.894080187141,NA,"00"
"336",1921," ",19210000,0,9,2.73931066332,NA,"00"
"337",1921," ",19210000,0,9,0.504989766813,NA,"00"
"338",1977,"BONITA",19770801,19770809,1,30.0603304892,1977-07-31 17:00:00,"08"
"339",1977," ",19770000,0,9,6.18008025974,NA,"00"
"340",1977,"BEAR TRAP",19770814,19770817,9,16.3683491669,1977-08-13 17:00:00,"08"
"341",1980,"RODUNER #2",19800819,0,14,0.689711549069,1980-08-18 17:00:00,"08"
"342",1980,"RODUNER #3",19800819,0,14,0.0271077268411,1980-08-18 17:00:00,"08"
"343",1980,"RUSH",19800728,0,14,2.10783731402,1980-07-27 17:00:00,"07"
"344",1932," ",19320000,0,14,2.32249088623,NA,"00"
"345",1932," ",19320000,0,9,4.73903094039,NA,"00"
"346",1961,"HIGHWAY 88 NO.1",19610722,0,14,1.36124897877,1961-07-21 17:00:00,"07"
"347",1961,"HUNT",19610722,0,14,1.18394566858,1961-07-21 17:00:00,"07"
"348",1961,"IRISH HILL",19611008,0,14,2.96235064175,1961-10-07 16:00:00,"10"
"349",1941," ",19410000,0,9,5.19191927461,NA,"00"
"350",1964,"LOUIS V. OLCESE EST.",19640623,0,14,1.08569390069,1964-06-22 17:00:00,"06"
